city,rubric,name,lat,lon,rating,review_count
Абакан,Рестораны,"STIX, бельгийский ресторан",53.721736,91.444138,4.7,648
Абакан,Рестораны,"Мажор, караоке-бар",53.725752,91.456086,4.7,307
Абакан,Рестораны,"Мадрид, кафе",53.727392,91.437827,4.6,300
Абакан,Рестораны,"Баран и бисер, ресторан",53.724203,91.443411,4.6,648
Абакан,Рестораны,"Енисей, ресторан",51.723586,94.436076,4.8,36
Абакан,Рестораны,"В лесу, ресторан",53.664849,91.680207,4.6,73
Абакан,Рестораны,"Авиатор, ресторан-гриль",53.656839,91.575049,4.5,138
Абакан,Рестораны,"Bushman Kitchen, ресторан",53.742768,91.432824,4.5,751
Абакан,Рестораны,"Гранд шале, ресторан",53.677721,91.366415,4.5,81
Абакан,Рестораны,"Солгон, ресторан",53.745469,91.417565,4.5,314
Абакан,Музеи,Краеведческий музей им. Н.М. Мартьянова,53.709695,91.688606,4.9,80
Абакан,Музеи,"Шушенское, историко-этнографический музей-заповедник",53.326759,91.930336,4.9,136
Абакан,Музеи,Музей ретро автомототехники СССР,53.709533,91.704968,4.8,86
Абакан,Музеи,Краеведческий музей им. Л.Р. Кызласова,53.720434,91.473981,4.8,203
Абакан,Музеи,Музей истории Красноярской железной дороги им. В.С. Чекчурина,53.714736,91.437747,4.9,22
Абакан,Музеи,Музей декабристов,53.714811,91.691223,5.0,8
Абакан,Музеи,Ширинский краеведческий музей им. Д.С. Лалетина,54.488522,89.962778,4.7,23
Абакан,Музеи,Музей гидроэнергетики,52.854721,91.423764,4.7,40
Абакан,Музеи,"Древние курганы Салбыкской степи, музей под открытым небом",53.894305,90.774969,4.7,19
Абакан,Музеи,"Квартира Г.М. Кржижановского и В.В. Старкова, мемориальный дом-музей",53.708802,91.69883,5.0,8
Абакан,Театры,Драматический театр им. А.М. Топанова,53.720994,91.444841,4.9,67
Абакан,Театры,Национальный музыкально-драматический театр им. В. Кок-оола,51.719896,94.439133,4.9,20
Абакан,Театры,Драматический театр,53.709711,91.683435,4.9,43
Абакан,Театры,Драматический гастрономический театр,53.715184,91.481883,5.0,27
Абакан,Театры,Театр драмы им. М.Ю. Лермонтова,53.720969,91.444543,4.6,27
Абакан,Театры,Хакасский национальный театр кукол Сказка им. Л.Г. Устинова,53.71855,91.440724,4.4,33
Абакан,Театры,Театр кукол,51.717931,94.436624,4.3,5
Абакан,Театры,"Читiген, Хакасский театр драмы и этнической музыки",53.717137,91.439188,3.7,10
Абакан,Театры,"Подорожник, передвижной театр кукол",,,,0
Абакан,Театры,"Ра вестник, народный театр-студия",53.326511,91.931646,,0
Абакан,Природные достопримечательности,"Шушенское, историко-этнографический музей-заповедник",53.326759,91.930336,4.9,136
Абакан,Природные достопримечательности,Природный парк Ергаки,52.730833,93.390379,5.0,9
Абакан,Природные достопримечательности,"Природный комплекс ""Енисейские ворота""",53.962307,91.49924,5.0,8
Абакан,Природные достопримечательности,Памятник природы Уйтаг,53.343734,90.8458,4.8,10
Абакан,Природные достопримечательности,Догээ,51.761929,94.423253,4.3,2
Абакан,Природные достопримечательности,Казанцевская писаница,53.425924,92.000199,4.3,4
Абакан,Природные достопримечательности,Арка Каменные ворота,54.073965,91.039386,5.0,2
Абакан,Природные достопримечательности,Боярская писаница,54.294293,91.180057,5.0,2
Абакан,Природные достопримечательности,Ойское озеро,52.843436,93.244511,5.0,0
Абакан,Природные достопримечательности,Археологическйи комплекс Долина царей,52.084185,93.665095,5.0,2
Абакан,Интересные здания,"Тубтен Шедруб Линг, буддийский монастырь",51.691496,94.404949,5.0,33
Абакан,Интересные здания,Краеведческий музей им. Н.М. Мартьянова,53.709695,91.688606,4.9,80
Абакан,Интересные здания,"Хурээ Цеченлинг, буддийский храм",51.723753,94.450489,5.0,15
Абакан,Интересные здания,"Октябрьская улица, 65",53.709955,91.69699,5.0,14
Абакан,Интересные здания,Драматический театр,53.709711,91.683435,4.9,43
